"Commune","Année","Semestre","Trimestre","Type de bâtiment","Superficie du terrain","Nombre de ventes","Prix médian","1er quartile du prix","3ème quartile du prix"
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)","Superficie inconnue",,,,
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)","0-99m²",,,,
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)","100-299m²",,,,
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)","300-599m²",1,,,
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)","600-999m²",2,,,
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)","1000-1499m²",,,,
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)",">=1500m²",3,,,
"Anderlecht","2012","1er semestre 2012",,"Appartements","Superficie inconnue",308,135500,112500,165000
"Anderlecht","2012","1er semestre 2012",,"Appartements","0-99m²",,,,
"Anderlecht","2012","1er semestre 2012",,"Appartements","100-299m²",,,,
"Anderlecht","2012","1er semestre 2012",,"Appartements","300-599m²",,,,
"Anderlecht","2012","1er semestre 2012",,"Appartements","600-999m²",,,,
"Anderlecht","2012","1er semestre 2012",,"Appartements","1000-1499m²",,,,
"Anderlecht","2012","1er semestre 2012",,"Appartements",">=1500m²",,,,
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","Superficie inconnue",,,,
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","0-99m²",19,190000,170000,230000
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","100-299m²",66,263750,230000,300000
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","300-599m²",9,,,
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","600-999m²",,,,
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","1000-1499m²",,,,
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",">=1500m²",,,,
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)","Superficie inconnue",,,,
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)","0-99m²",,,,
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)","100-299m²",,,,
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)","300-599m²",,,,
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)","600-999m²",1,,,
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)","1000-1499m²",1,,,
"Anderlecht","2012","2ème semestre 2012",,"Maisons avec 4 ou plus de façades (type ouvert)",">=1500m²",1,,,
"Anderlecht","2012","2ème semestre 2012",,"Appartements","Superficie inconnue",323,130000,100000,165000
"Anderlecht","2012","2ème semestre 2012",,"Appartements","0-99m²",,,,
"Anderlecht","2012","2ème semestre 2012",,"Appartements","100-299m²",,,,
"Anderlecht","2012","2ème semestre 2012",,"Appartements","300-599m²",,,,
"Anderlecht","2012","2ème semestre 2012",,"Appartements","600-999m²",,,,
"Anderlecht","2012","2ème semestre 2012",,"Appartements","1000-1499m²",,,,
"Anderlecht","2012","2ème semestre 2012",,"Appartements",">=1500m²",,,,
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","Superficie inconnue",2,,,
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","0-99m²",20,218500,197500,240000
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","100-299m²",57,265000,214000,305000
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","300-599m²",9,,,
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","600-999m²",2,,,
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","1000-1499m²",1,,,
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",">=1500m²",,,,
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)","Superficie inconnue",,,,
